* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
* ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved

Release:
	version 3.0


Tag	,	Weight	,	Net	,	Device	,	Terminal
Defect_Open_26	,	1	,	xdut.xi72.net15	,	xdut.xi72.xi146.mptrans10	,	D
Defect_Open_27	,	1	,	xdut.xi72.net15	,	xdut.xi72.xi146.mntrans11	,	D
Defect_Open_28	,	1	,	xdut.xi72.net14	,	xdut.xi72.xi47.mptrans10	,	D
Defect_Open_29	,	1	,	xdut.xi72.net14	,	xdut.xi72.xi47.mntrans11	,	D
Defect_Open_30	,	1	,	xdut.xi72.net11	,	xdut.xi72.xi48.mptrans10	,	D
Defect_Open_31	,	1	,	xdut.xi72.net11	,	xdut.xi72.xi48.mntrans11	,	D
Defect_Open_32	,	1	,	xdut.s1_n	,	xdut.xi72.xi35.mptrans10	,	D
Defect_Open_33	,	1	,	xdut.s1_n	,	xdut.xi72.xi35.mntrans11	,	D
Defect_Open_34	,	1	,	xdut.s1	,	xdut.xi72.xi34.mptrans10	,	D
Defect_Open_35	,	1	,	xdut.s1	,	xdut.xi72.xi34.mntrans11	,	D
Defect_Open_36	,	1	,	xdut.xi72.net15	,	xdut.xi72.xi49.mptrans10	,	D
Defect_Open_37	,	1	,	xdut.xi72.net15	,	xdut.xi72.xi49.mntrans11	,	D
Defect_Open_38	,	1	,	xdut.xi72.net11	,	xdut.xi72.xi31.mptrans10	,	D
Defect_Open_39	,	1	,	xdut.xi72.net11	,	xdut.xi72.xi31.mntrans11	,	D
Defect_Open_40	,	1	,	xdut.s1_n	,	xdut.xi72.xi30.mptrans10	,	D
Defect_Open_41	,	1	,	xdut.s1_n	,	xdut.xi72.xi30.mntrans11	,	D
Defect_Open_42	,	1	,	xdut.xi72.net9	,	xdut.xi72.xi33.mptrans10	,	D
Defect_Open_43	,	1	,	xdut.xi72.net9	,	xdut.xi72.xi33.mntrans11	,	D
Defect_Open_44	,	1	,	xdut.s1	,	xdut.xi72.xi27.mptrans10	,	D
Defect_Open_45	,	1	,	xdut.s1	,	xdut.xi72.xi27.mntrans11	,	D
Defect_Open_46	,	1	,	xdut.xi73.net15	,	xdut.xi73.xi146.mptrans10	,	D
Defect_Open_47	,	1	,	xdut.xi73.net15	,	xdut.xi73.xi146.mntrans11	,	D
Defect_Open_48	,	1	,	xdut.xi73.net14	,	xdut.xi73.xi47.mptrans10	,	D
Defect_Open_49	,	1	,	xdut.xi73.net14	,	xdut.xi73.xi47.mntrans11	,	D
Defect_Open_50	,	1	,	xdut.xi73.net11	,	xdut.xi73.xi48.mptrans10	,	D
Defect_Open_51	,	1	,	xdut.xi73.net11	,	xdut.xi73.xi48.mntrans11	,	D
Defect_Open_52	,	1	,	xdut.s0_n	,	xdut.xi73.xi35.mptrans10	,	D
Defect_Open_53	,	1	,	xdut.s0_n	,	xdut.xi73.xi35.mntrans11	,	D
Defect_Open_54	,	1	,	xdut.s0	,	xdut.xi73.xi34.mptrans10	,	D
Defect_Open_55	,	1	,	xdut.s0	,	xdut.xi73.xi34.mntrans11	,	D
Defect_Open_56	,	1	,	xdut.xi73.net15	,	xdut.xi73.xi49.mptrans10	,	D
Defect_Open_57	,	1	,	xdut.xi73.net15	,	xdut.xi73.xi49.mntrans11	,	D
Defect_Open_58	,	1	,	xdut.xi73.net11	,	xdut.xi73.xi31.mptrans10	,	D
Defect_Open_59	,	1	,	xdut.xi73.net11	,	xdut.xi73.xi31.mntrans11	,	D
Defect_Open_60	,	1	,	xdut.s0_n	,	xdut.xi73.xi30.mptrans10	,	D
Defect_Open_61	,	1	,	xdut.s0_n	,	xdut.xi73.xi30.mntrans11	,	D
Defect_Open_62	,	1	,	xdut.xi73.net9	,	xdut.xi73.xi33.mptrans10	,	D
Defect_Open_63	,	1	,	xdut.xi73.net9	,	xdut.xi73.xi33.mntrans11	,	D
Defect_Open_64	,	1	,	xdut.s0	,	xdut.xi73.xi27.mptrans10	,	D
Defect_Open_65	,	1	,	xdut.s0	,	xdut.xi73.xi27.mntrans11	,	D
Defect_Open_66	,	1	,	xdut.xi74.net011	,	xdut.xi74.m22	,	D
Defect_Open_67	,	1	,	xdut.xi74.net017	,	xdut.xi74.m13	,	D
Defect_Open_68	,	1	,	xdut.xi74.net022	,	xdut.xi74.m12	,	D
Defect_Open_69	,	1	,	xdut.xi74.net013	,	xdut.xi74.m21	,	D
Defect_Open_70	,	1	,	xdut.xi74.net017	,	xdut.xi74.m20	,	D
Defect_Open_71	,	1	,	xdut.xi74.net022	,	xdut.xi74.m19	,	D
Defect_Open_72	,	4	,	xdut.xi74.net012	,	xdut.xi74.m5	,	D
Defect_Open_73	,	4	,	xdut.xi74.net018	,	xdut.xi74.m4	,	D
Defect_Open_74	,	1	,	xdut.xi74.net013	,	xdut.xi74.m18	,	D
Defect_Open_75	,	1	,	xdut.xi74.net011	,	xdut.xi74.m17	,	D
Defect_Open_76	,	1	,	xdut.xi74.net018	,	xdut.xi74.m6	,	D
Defect_Open_77	,	1	,	xdut.xi74.net012	,	xdut.xi74.m2	,	D
Defect_Open_78	,	2	,	xdut.xi74.net017	,	xdut.xi74.m9	,	D
Defect_Open_79	,	2	,	xdut.xi74.net022	,	xdut.xi74.m10	,	D
Defect_Open_80	,	1	,	xdut.net044	,	xdut.xi74.xi5.mptrans10	,	D
Defect_Open_81	,	1	,	xdut.net044	,	xdut.xi74.xi5.mntrans11	,	D
Defect_Open_82	,	1	,	xdut.xi75.net011	,	xdut.xi75.m22	,	D
Defect_Open_83	,	1	,	xdut.xi75.net017	,	xdut.xi75.m13	,	D
Defect_Open_84	,	1	,	xdut.xi75.net022	,	xdut.xi75.m12	,	D
Defect_Open_85	,	1	,	xdut.xi75.net013	,	xdut.xi75.m21	,	D
Defect_Open_86	,	1	,	xdut.xi75.net017	,	xdut.xi75.m20	,	D
Defect_Open_87	,	1	,	xdut.xi75.net022	,	xdut.xi75.m19	,	D
Defect_Open_88	,	4	,	xdut.xi75.net012	,	xdut.xi75.m5	,	D
Defect_Open_89	,	4	,	xdut.xi75.net018	,	xdut.xi75.m4	,	D
Defect_Open_90	,	1	,	xdut.xi75.net013	,	xdut.xi75.m18	,	D
Defect_Open_91	,	1	,	xdut.xi75.net011	,	xdut.xi75.m17	,	D
