* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_29	,	net020	,	DUT.I51.I170.I153.ntrans21:g	,	nreg	,	g
G_30	,	net020	,	DUT.I51.I9.ptrans24:g	,	preg	,	g
G_31	,	net020	,	DUT.I51.I9.ntrans27:g	,	nreg	,	g
G_32	,	net021	,	DUT.I51.I169.I153.ptrans24:g	,	preg	,	g
G_33	,	net021	,	DUT.I51.I169.I153.ntrans21:g	,	nreg	,	g
G_34	,	net021	,	DUT.I51.I6.ptrans24:g	,	preg	,	g
G_35	,	net021	,	DUT.I51.I6.ntrans27:g	,	nreg	,	g
G_36	,	net022	,	DUT.I51.I168.I153.ptrans24:g	,	preg	,	g
G_37	,	net022	,	DUT.I51.I168.I153.ntrans21:g	,	nreg	,	g
G_38	,	net022	,	DUT.I51.I171.ptrans24:g	,	preg	,	g
G_39	,	net022	,	DUT.I51.I171.ntrans27:g	,	nreg	,	g
G_40	,	net04	,	DUT.I51.I171.ptrans23:g	,	preg	,	g
G_41	,	net04	,	DUT.I51.I171.ntrans26:g	,	nreg	,	g
G_42	,	net04	,	DUT.I51.I3.ptrans10:g	,	preg	,	g
